Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TCP,TCP,1,192.168.1.1,49203,80,62,0.0,1
BOOTP,UDP,1,255.255.255.255,68,67,331,0.7202997493730893,1
TCP,TCP,1,192.168.1.1,49204,80,62,1.042385014800844,1
TCP,TCP,1,192.168.1.1,49205,80,62,1.5635775222012662,1
TCP,TCP,1,192.168.1.1,49206,80,62,1.6332911800296532,1
TCP,TCP,1,192.168.1.1,49397,80,66,1.4245927756711592,1
TCP,TCP,1,192.168.1.1,49398,80,66,1.4850967323099435,1
BOOTP,UDP,1,255.255.255.255,68,67,342,1.7259488518228228,1
TCP,TCP,1,192.168.1.1,49399,80,66,1.9725129735117974,1
TCP,TCP,1,192.168.1.1,49400,80,66,1.9691470490886978,1
TCP,TCP,1,192.168.1.1,49401,80,66,1.9604488251737786,1
TCP,TCP,1,192.168.1.1,49290,80,66,2.1499189260560057,1
TCP,TCP,1,192.168.1.1,49291,80,66,2.1250831185133094,1
TCP,TCP,1,192.168.1.1,49292,80,66,2.2958312978931943,1
BOOTP,UDP,1,255.255.255.255,68,67,331,2.4724337054234398,1
TCP,TCP,1,192.168.1.1,49402,80,66,2.6490361129536857,1
TCP,TCP,1,192.168.1.1,49293,80,66,2.596725964932578,1
TCP,TCP,1,192.168.1.1,49403,80,66,2.7590213377408643,1
TCP,TCP,1,192.168.1.1,49294,80,66,2.9213167105491507,1
TCP,TCP,1,192.168.1.1,49404,80,66,2.839223275083822,1
TCP,TCP,1,192.168.1.1,49295,80,66,2.988656079035602,1
TCP,TCP,1,192.168.1.1,49398,80,66,2.907646095457328,1
TCP,TCP,1,192.168.1.1,49397,80,66,3.046105433336248,1
TCP,TCP,1,192.168.1.1,49399,80,66,3.1845647712151686,1
TCP,TCP,1,192.168.1.1,49405,80,66,3.323024109094089,1
TCP,TCP,1,192.168.1.1,49296,80,66,3.461483446973009,1
TCP,TCP,1,192.168.1.1,49400,80,66,3.353669057473688,1
TCP,TCP,1,192.168.1.1,49406,80,66,3.4826563289149837,1
TCP,TCP,1,192.168.1.1,49297,80,66,3.6116436003562793,1
TCP,TCP,1,192.168.1.1,49401,80,66,3.5011177054900293,1
TCP,TCP,1,192.168.1.1,49291,80,66,3.6218459022310645,1
TCP,TCP,1,192.168.1.1,49290,80,66,3.7425740989721,1
TCP,TCP,1,192.168.1.1,49292,80,66,3.8633022957131358,1
TCP,TCP,1,192.168.1.1,49298,80,66,3.984030492454171,1
DHCPV6,TCP,1,ff02::1:2,546,547,155,3.8577466901814645,1
TCP,TCP,1,192.168.1.1,49402,80,66,3.971209828127978,1
TCP,TCP,1,192.168.1.1,49293,80,66,4.077456333841115,1
TCP,TCP,1,192.168.1.1,49299,80,66,4.190719009781146,1
TCP,TCP,1,192.168.1.1,49403,80,66,4.066867424964804,1
TCP,TCP,1,192.168.1.1,49294,80,66,4.16693386883814,1
ARP,TCP,1,192.168.1.1,0,0,60,4.273778327013477,1
ARP,TCP,0,192.168.1.12,0,0,42,4.152249009290248,0
DHCPV6,TCP,1,ff02::1:2,546,547,155,4.253523375370498,1
TCP,TCP,1,192.168.1.1,49404,80,66,4.347928969832586,1
ARP,TCP,1,192.168.1.1,0,0,60,4.449043597037995,1
ARP,TCP,0,192.168.1.11,0,0,42,4.550158224243404,0
TCP,TCP,1,192.168.1.1,49295,80,66,4.651272851448813,1
TCP,TCP,1,192.168.1.1,49208,80,66,4.744903397940101,1
TCP,TCP,1,192.168.1.1,49207,80,66,4.613373845611575,1
TCP,TCP,1,192.168.1.1,49405,80,66,4.7094858007284826,1
TCP,TCP,1,192.168.1.1,49296,80,66,4.80559775584539,1
TCP,TCP,1,192.168.1.1,49406,80,66,4.663966323254977,1
TCP,TCP,1,192.168.1.1,49297,80,66,4.748642540079226,1
TCP,TCP,1,192.168.1.1,49209,80,66,4.839962588926904,1
TCP,TCP,1,192.168.1.1,49298,80,66,4.70987803877106,1
TCP,TCP,1,192.168.1.1,49210,80,66,4.790580300593719,1
TCP,TCP,1,192.168.1.1,49299,80,66,4.668366349008592,1
TCP,TCP,1,192.168.1.1,49211,80,66,4.745559045144214,1
TCP,TCP,1,192.168.1.1,49212,80,66,4.630369970108592,1
TCP,TCP,1,192.168.1.1,49398,80,62,4.704345467827036,1
TCP,TCP,1,192.168.1.1,49397,80,62,4.595460512974652,1
TCP,TCP,1,192.168.1.1,49208,80,66,4.666476191459355,1
TCP,TCP,1,192.168.1.1,49207,80,66,4.742975801155411,1
TCP,TCP,1,192.168.1.1,49213,80,66,4.8194754108514655,1
TCP,TCP,1,192.168.1.1,49399,80,62,4.895975020547521,1
TCP,TCP,1,192.168.1.1,49214,80,66,4.78408017874854,1
TCP,TCP,1,192.168.1.1,49400,80,62,4.857681412267748,1
