Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
SSDP,UDP,1,239.255.255.250,46483,1900,369,0.0,1
SSDP,UDP,1,239.255.255.250,46483,1900,378,0.26674267709596916,1
SSDP,UDP,1,239.255.255.250,46483,1900,378,0.533200140422076,1
SSDP,UDP,1,239.255.255.250,46483,1900,433,0.799586446397054,1
SSDP,UDP,1,239.255.255.250,46483,1900,433,1.0658304629063755,1
SSDP,UDP,1,239.255.255.250,41566,1900,443,1.171945861925501,1
DATA,UDP,1,10.1.27.255,2003,2003,636,1.4056744041858849,1
SSDP,UDP,1,239.255.255.250,41566,1900,443,1.639567185188697,1
TCP,TCP,1,173.194.76.125,51863,5222,84,1.8733510616589424,1
TCP,TCP,1,10.1.27.29,5222,51863,60,2.1070250511619557,1
DATA,UDP,1,10.1.27.255,2003,2003,636,2.3405982043879408,1
MDNS,UDP,1,224.0.0.251,5353,5353,112,1.993020570633687,1
MDNS,UDP,1,ff02::fb,5353,5353,132,2.1738092079076554,1
DATA,UDP,1,10.1.27.255,2003,2003,636,2.073632304121039,1
DATA,UDP,1,10.1.27.255,2003,2003,636,2.232785590930063,1
DATA,UDP,1,10.1.27.255,2003,2003,636,2.3914944232537216,1
IGMP,None,1,224.0.0.251,0,0,60,2.5505196139836666,1
DATA,UDP,1,10.1.27.255,2003,2003,636,2.7090735494087603,1
DATA,TCP,1,10.1.27.29,27020,51854,141,2.8679726192513506,1
TCP,TCP,1,162.254.197.41,51854,27020,54,2.7063617134660856,1
MDNS,UDP,1,224.0.0.251,5353,5353,112,2.847988399192762,1
MDNS,UDP,1,ff02::fb,5353,5353,132,2.9899484806423064,1
DATA,TCP,1,162.254.197.41,51854,27020,141,3.1318805680162756,1
TCP,TCP,1,10.1.27.29,27020,51854,60,3.2737707612327873,1
DATA,TCP,1,10.1.27.29,27020,51854,479,3.415622251470127,1
ARP,TCP,1,10.1.27.29,0,0,60,3.55743214829953,1
ARP,TCP,1,10.1.27.254,0,0,42,3.69921575959839,1
TCP,TCP,1,162.254.197.41,51854,27020,54,3.8403815483241304,1
DATA,TCP,1,162.254.197.41,51854,27020,162,3.982048985160049,1
TCP,TCP,1,10.1.27.29,27020,51854,60,4.123677631017778,1
DATA,TCP,1,10.1.27.29,27020,51854,348,3.9604187013015464,1
DNS,UDP,1,8.8.8.8,60210,53,95,4.091892381469635,1
TCP,TCP,1,162.254.197.41,51854,27020,54,4.223328561581433,1
DNS,UDP,1,10.1.27.29,53,60210,220,4.354732613400877,1
TCP,TCP,1,31.205.250.224,53477,80,66,4.485507218341928,1
TCP,TCP,1,31.205.250.224,53478,80,66,4.616823411016919,1
TCP,TCP,1,31.205.250.224,53479,80,66,4.748104138026412,1
TCP,TCP,1,31.205.250.224,53480,80,66,4.8793491981230686,1
TCP,TCP,1,10.1.27.29,80,53477,66,5.010562469158204,1
TCP,TCP,1,10.1.27.29,80,53479,66,5.141059988703223,1
TCP,TCP,1,10.1.27.29,80,53480,66,5.272185608460427,1
TCP,TCP,1,10.1.27.29,80,53478,66,5.403275916101427,1
TCP,TCP,1,31.205.250.224,53477,80,54,5.534331919418644,1
TCP,TCP,1,31.205.250.224,53479,80,54,5.665353300783572,1
TCP,TCP,1,31.205.250.224,53480,80,54,5.796337707240582,1
TCP,TCP,1,31.205.250.224,53478,80,54,5.927291880239509,1
HTTP,TCP,1,31.205.250.224,53477,80,331,6.057408151948786,1
HTTP,TCP,1,31.205.250.224,53479,80,331,6.188275330448749,1
HTTP,TCP,1,31.205.250.224,53480,80,331,6.319106236699026,1
HTTP,TCP,1,31.205.250.224,53478,80,331,6.449051538246785,1
TCP,TCP,1,10.1.27.29,80,53477,60,6.579794986314893,1
TCP,TCP,1,10.1.27.29,80,53479,60,6.710506822155283,1
